dataset,readiness_tier,source_quality,headline_ready,fallback_only,missing_critical_fields,last_regenerated_utc,review_maturity,public_role
official_capture,headline_ready,exact_official,True,False,,2026-03-25T14:09:46.339494+00:00,headline_ready,supporting
official_ati,headline_ready,exact_official_numeric,True,False,,2026-03-25T14:09:49.690288+00:00,headline_ready,headline
qra_event_elasticity,supporting_provisional,manual_qra_shock_template_plus_event_panel,False,True,,2026-03-25T12:31:25.551521+00:00,provisional_supporting,supporting
qra_event_registry_v2,supporting_ready,derived_event_ledger,False,False,,2026-03-25T12:31:31.828295+00:00,provisional_supporting,supporting
qra_release_component_registry,supporting_ready,derived_component_registry,False,False,,2026-03-25T12:31:31.920519+00:00,provisional_supporting,supporting
qra_benchmark_coverage,supporting_ready,derived_benchmark_coverage,False,False,,2026-03-25T12:31:31.920519+00:00,supporting_ready,supporting
qra_benchmark_blockers_by_event,supporting_ready,derived_benchmark_blockers,False,False,,2026-03-25T12:31:32.032263+00:00,supporting_ready,supporting
qra_benchmark_evidence_registry,supporting_ready,derived_benchmark_evidence_registry,False,False,,2026-03-25T12:31:31.920519+00:00,supporting_ready,supporting
qra_causal_qa_ledger,supporting_ready,derived_causal_qa,False,False,,2026-03-25T12:31:32.013715+00:00,provisional_supporting,supporting
causal_claims_status,supporting_ready,derived_causal_claims_status,False,False,,2026-03-25T12:31:32.018049+00:00,supporting_ready,supporting
official_capture_history_status,supporting_ready,exact_official_window_plus_archive_scaffold_history,False,False,,2026-03-25T14:09:46.339494+00:00,supporting_ready,supporting
official_capture_backfill_queue,supporting_ready,derived_backfill_queue,False,False,,2026-03-25T14:09:46.339494+00:00,supporting_ready,supporting
event_design_status,supporting_ready,derived_event_design_status,False,False,,2026-03-25T12:31:32.018049+00:00,provisional_supporting,supporting
qra_shock_crosswalk_v1,supporting_ready,derived_shock_crosswalk,False,False,,2026-03-25T12:31:32.120889+00:00,provisional_supporting,supporting
treatment_comparison_table,supporting_ready,derived_treatment_comparison,False,False,,2026-03-25T12:31:22.500523+00:00,supporting_ready,supporting
qra_long_rate_translation_panel,supporting_provisional,derived_long_rate_translation,False,True,,2026-03-25T12:31:32.120889+00:00,provisional_supporting,supporting
event_usability_table,supporting_ready,derived_qra_usability,False,False,,2026-03-25T12:31:32.216856+00:00,supporting_ready,supporting
leave_one_event_out_table,supporting_ready,derived_qra_robustness,False,False,,2026-03-25T12:31:33.467002+00:00,provisional_supporting,supporting
auction_absorption_table,supporting_ready,derived_absorption_bridge,False,False,,2026-03-25T12:31:38.435436+00:00,supporting_ready,supporting
plumbing,headline_ready,headline_exact_net_with_labeled_fallbacks,True,False,,2026-03-25T12:31:42.439171+00:00,headline_ready,headline
duration,headline_ready,headline_hybrid_exact_with_labeled_fallbacks,True,False,,2026-03-25T12:31:44.611444+00:00,headline_ready,headline
pricing,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.822716+00:00,provisional_supporting,supporting
pricing_spec_registry,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.821339+00:00,provisional_supporting,supporting
pricing_regression_summary,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.822716+00:00,provisional_supporting,supporting
pricing_regression_robustness,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.824788+00:00,provisional_supporting,supporting
pricing_subsample_grid,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.823991+00:00,provisional_supporting,supporting
pricing_release_flow_panel,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:48.638042+00:00,provisional_supporting,supporting
pricing_release_flow_leave_one_out,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.826438+00:00,provisional_supporting,supporting
pricing_tau_sensitivity_grid,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.827208+00:00,provisional_supporting,supporting
pricing_scenario_translation,supporting_provisional,derived_pricing_reduced_form,False,True,,2026-03-25T12:31:52.825415+00:00,provisional_supporting,supporting
extension_investor_allotments,summary_ready,summary_ready,False,False,,2026-03-25T12:31:11.429604+00:00,summary_ready,supporting
extension_primary_dealer,summary_ready,summary_ready,False,False,,2026-03-25T12:31:14.471560+00:00,summary_ready,supporting
extension_sec_nmfp,summary_ready,summary_ready,False,False,,2026-03-25T12:31:17.100584+00:00,summary_ready,supporting
extension_tic,not_started,not_started,False,True,,,provisional_supporting,supporting
