spec_id,treatment_version_id,treatment_variant,headline_bucket,classification_review_status,shock_review_status,event_date_type,overlap_severity,usable_for_headline,usable_for_headline_reason,usable_for_descriptive_headline,descriptive_headline_reason,n_rows,n_events,event_count
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,control_hold,reviewed,reviewed,market_pricing_marker_minus_1d,high,False,non_official_event_date_type,False,non_official_event_date_type,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,control_hold,reviewed,reviewed,market_pricing_marker_minus_1d,none,False,non_official_event_date_type,False,non_official_event_date_type,2,2,2
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,easing,reviewed,reviewed,market_pricing_marker_minus_1d,high,False,non_official_event_date_type,False,non_official_event_date_type,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,easing,reviewed,reviewed,market_pricing_marker_minus_1d,none,False,non_official_event_date_type,False,non_official_event_date_type,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,exclude,pending,,market_pricing_marker_minus_1d,none,False,non_official_event_date_type,False,non_official_event_date_type,47,47,47
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,exclude,reviewed,reviewed,market_pricing_marker_minus_1d,none,False,non_official_event_date_type,False,non_official_event_date_type,7,7,7
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,tightening,reviewed,reviewed,market_pricing_marker_minus_1d,high,False,non_official_event_date_type,False,non_official_event_date_type,2,2,2
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,control_hold,reviewed,reviewed,official_release_date,high,False,small_denominator,False,small_denominator,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,control_hold,reviewed,reviewed,official_release_date,none,False,small_denominator,False,small_denominator,2,2,2
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,easing,reviewed,reviewed,official_release_date,high,True,usable,True,usable,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,easing,reviewed,reviewed,official_release_date,none,True,usable,True,usable,1,1,1
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,exclude,pending,,official_release_date,none,False,shock_missing,False,shock_missing,47,47,47
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,exclude,reviewed,reviewed,official_release_date,none,False,small_denominator,False,small_denominator,7,7,7
spec_qra_event_v2,spec_duration_treatment_v1,canonical_shock_bn,tightening,reviewed,reviewed,official_release_date,high,True,usable,True,usable,2,2,2
